gid	parA_rep1	parA_rep2	parA_rep3	parB_rep1	parB_rep2	parB_rep3	hybA_rep1	hybA_rep2	hybA_rep3	hybB_rep1	hybB_rep2	hybB_rep3
Zm00001d003379	19861	12755	12019	8767	18184	11348	2288	2263	2031	3181	2835	2665
Zm00001d003381	569	290	375	796	1115	987	24	22	49	19	9	14
Zm00001d003393	1350	936	1047	1196	1188	1130	53	45	38	28	29	29
Zm00001d003394	1782	1726	1493	1626	1486	1463	122	90	61	96	87	75
Zm00001d003395	1714	2067	1564	839	682	679	226	161	120	99	72	96
Zm00001d003399	1887	1172	2644	2366	1365	3161	89	55	59	87	45	93
Zm00001d003400	262	229	408	135	208	162	31	28	11	8	9	5
Zm00001d003401	19410	17377	13214	19213	15955	17003	669	708	523	646	582	869
Zm00001d003406	319	140	227	230	322	337	24	10	25	10	8	11
Zm00001d003414	1373	1057	2027	1250	1459	1531	186	152	108	196	164	153
Zm00001d003415	729	703	788	424	531	472	141	265	170	103	112	128
Zm00001d003426	464	264	376	207	261	237	59	53	51	38	40	68
Zm00001d003427	2162	1711	1771	1137	1503	1185	14	20	3	19	14	11
Zm00001d003428	335	217	260	173	204	150	10	14	13	10	13	36
Zm00001d003432	495	774	836	449	647	577	78	71	47	35	40	36
Zm00001d003434	629	1284	1133	1367	792	968	160	184	95	51	43	37
Zm00001d003438	2914	2239	3222	1895	2090	1799	458	478	427	440	352	398
Zm00001d003446	1218	1697	2289	2808	2946	2772	116	111	134	242	165	153
Zm00001d003457	5519	6432	7771	6307	9412	7386	768	956	449	809	690	424
Zm00001d003460	2625	3010	2797	2490	2771	2654	104	152	84	126	120	103
Zm00001d003462	1045	816	788	602	583	618	86	77	74	67	39	79
Zm00001d003468	3803	3242	3656	3983	5309	4969	69	84	49	65	46	45
Zm00001d003470	1157	841	1119	2094	1766	2012	277	240	199	369	343	391
Zm00001d003471	421	239	356	194	250	220	132	69	77	42	32	38
Zm00001d003476	1076	838	945	914	933	927	67	57	43	48	43	40
Zm00001d003495	1278	1950	1752	568	330	374	265	210	127	374	308	192
Zm00001d003500	572	404	443	450	564	502	131	122	50	102	157	116
Zm00001d003502	370	181	248	97	92	89	64	69	68	54	56	56
Zm00001d003504	3392	4795	4665	5475	2558	4357	709	541	409	231	194	173
Zm00001d003509	5583	3873	5599	4976	3975	5472	1203	1023	894	693	536	570
Zm00001d003511	356	301	368	259	388	326	98	99	62	92	100	152
Zm00001d003512	218	116	250	134	171	167	14	2	5	5	7	5
Zm00001d003518	1658	1263	1239	1366	1130	1202	49	54	44	34	31	44
Zm00001d003525	489	293	469	208	271	202	25	46	31	19	30	54
Zm00001d003533	2872	2627	3617	14691	2786	6709	1542	307	335	1115	259	314
Zm00001d003538	235	59	235	437	109	384	37	19	22	20	7	17
Zm00001d003555	233	324	395	20	106	66	23	14	2	19	4	6
Zm00001d003556	1447	798	914	648	765	666	51	40	35	74	57	111
Zm00001d003584	881	920	800	1101	1880	1334	184	244	240	272	289	305
Zm00001d003589	359	266	352	279	308	250	60	58	65	63	74	78
Zm00001d003590	1938	1237	1526	1280	1716	1533	229	224	227	272	254	371
Zm00001d003593	197	119	111	9	40	18	8	10	5	2	5	7
Zm00001d003602	7397	5848	7643	7044	8856	7850	1666	1768	1733	967	1041	876
Zm00001d003616	1734	1323	1591	669	708	709	137	101	104	122	77	141
Zm00001d003621	1528	989	1196	665	926	722	68	77	69	66	79	104
Zm00001d003632	2749	2228	2801	10736	11242	10184	621	596	344	846	804	508
Zm00001d003640	306	227	328	156	198	147	28	21	16	13	12	12
Zm00001d003643	1870	1537	1504	1484	1920	1498	49	57	61	34	43	61
Zm00001d003644	382	145	174	204	455	285	8	4	3	3	11	6
Zm00001d003649	180	122	187	389	295	392	35	5	12	31	12	22
Zm00001d003650	60	69	103	143	215	171	5	10	6	9	16	5
Zm00001d003652	1204	983	1333	621	940	778	90	147	94	71	89	82
Zm00001d003653	4975	4053	4077	4174	5071	4338	149	198	99	104	103	162
Zm00001d003654	1351	1208	1463	934	1437	1194	174	117	134	94	81	101
Zm00001d003655	2212	1298	2195	582	820	748	95	71	50	22	17	37
Zm00001d003658	294	177	229	244	282	217	9	12	4	19	20	25
Zm00001d003659	2456	2446	2685	5555	3710	3713	241	212	153	354	337	246
Zm00001d003660	595	569	628	148	172	162	69	76	64	16	12	13
Zm00001d003663	832	624	572	469	534	530	109	83	93	60	102	144
Zm00001d003669	857	963	1435	1342	1325	1826	141	95	92	225	144	129
Zm00001d003670	237	80	167	178	301	286	4	1	3	6	7	17
Zm00001d003671	233	109	157	911	709	835	9	15	12	46	30	55
Zm00001d003672	4413	3040	2546	2122	2723	2225	252	597	256	294	565	528
Zm00001d003673	1927	2014	2177	1176	1652	1477	266	299	224	152	148	175
Zm00001d003677	2235	252	187	102	196	82	7	2	22	22	8	222
Zm00001d003678	310	103	166	310	351	353	8	2	6	23	8	22
Zm00001d003679	999	643	861	959	1031	1009	42	29	43	52	31	109
Zm00001d003680	1534	1018	983	909	957	886	265	240	339	131	82	188
Zm00001d003683	2828	1782	1890	2238	2101	1829	43	10	206	11	10	34
Zm00001d003685	1328	795	927	976	1209	1109	67	17	48	30	21	43
Zm00001d003710	654	365	666	623	752	603	96	54	84	90	43	90
Zm00001d003712	1086	1212	1135	10712	9860	6636	116	89	17	181	78	37
Zm00001d003713	1414	1285	1838	1646	2164	1904	19	16	19	26	18	24
Zm00001d003719	130	253	203	525	194	251	25	22	3	19	17	8
Zm00001d003725	4052	1756	1416	1580	2609	1556	1075	662	448	384	223	339
Zm00001d003729	572	497	490	343	527	444	26	23	17	28	21	21
Zm00001d003730	2691	785	831	1149	1830	1151	59	44	47	68	47	161
Zm00001d003750	1195	502	677	1000	479	946	126	56	72	84	30	135
Zm00001d003751	5027	7016	6821	10485	10771	10410	1097	944	544	723	623	372
Zm00001d003756	174	92	103	80	58	100	10	8	7	22	9	11
Zm00001d003778	406	164	181	147	168	132	3	4	22	5	5	38
Zm00001d003781	98	150	156	91	72	72	26	23	30	15	15	21
Zm00001d003800	324	373	511	226	510	330	47	44	14	29	33	6
Zm00001d003807	836	663	650	360	399	346	50	85	70	24	40	49
Zm00001d003812	1183	834	1030	690	807	827	39	29	14	12	25	26
Zm00001d003817	29290	22713	29311	23933	21887	21042	2284	2556	1409	1259	1262	1078
Zm00001d003822	2920	3987	3426	1939	2458	2259	771	798	630	445	549	527
Zm00001d003830	971	3786	982	3354	946	2140	182	69	85	74	35	33
Zm00001d003833	455	973	669	2122	763	952	29	22	26	24	6	13
Zm00001d003836	842	678	799	584	633	585	51	35	51	13	15	19
Zm00001d003839	851	698	778	534	508	494	50	130	124	39	72	116
Zm00001d003840	812	894	1064	1969	1258	1796	102	128	66	103	84	70
Zm00001d003841	130	85	168	148	187	151	27	16	26	12	5	11
Zm00001d003848	2071	3269	2776	1263	939	904	247	294	102	109	166	45
Zm00001d003851	2103	2089	2453	2461	2553	2583	224	214	176	128	119	111
Zm00001d003857	31750	42968	37986	16260	21154	18273	3808	5428	1641	1830	2376	907
Zm00001d003861	2330	2192	2766	3001	3372	3213	774	473	461	871	639	607
Zm00001d003864	925	438	873	985	1015	976	46	36	18	47	36	54
Zm00001d003872	441	209	250	166	115	143	4	23	35	4	15	69
Zm00001d003878	2910	2890	2935	2546	2895	2828	743	731	709	662	659	632
Zm00001d003879	8783	6657	7984	6323	6978	6352	267	225	246	134	138	187
Zm00001d003889	179	178	196	393	556	403	12	9	5	9	11	6
Zm00001d003890	513	392	434	174	254	248	50	61	63	35	35	35
Zm00001d003894	2487	1578	1648	1193	1184	1219	84	67	98	46	38	76
Zm00001d003895	526	332	375	983	981	1081	104	81	85	153	73	123
Zm00001d003896	7915	4612	5029	3704	4404	3363	812	932	482	840	824	1190
Zm00001d003902	552	414	360	319	456	455	25	9	4	9	9	12
Zm00001d003905	519	274	363	358	361	294	54	68	33	33	58	38
Zm00001d003911	5274	5441	5569	4061	4988	4659	336	358	197	303	322	273
Zm00001d003947	4466	3842	4655	2904	3460	3193	631	650	512	493	527	475
Zm00001d003948	1797	2063	2018	1354	1405	1372	87	81	61	43	28	35
Zm00001d003950	768	758	881	513	562	504	100	111	79	91	98	106
Zm00001d003957	555	483	578	415	557	501	96	138	88	87	79	95
Zm00001d003958	2769	2296	2797	2770	3324	3273	131	138	102	154	158	138
Zm00001d003975	420	431	477	331	417	345	25	9	35	13	11	29
Zm00001d003984	1746	1068	1219	1109	1141	1195	22	8	14	23	14	44
Zm00001d004006	2661	2202	4252	2489	2773	2895	715	802	615	396	391	333
Zm00001d004009	4745	4196	3816	2781	3164	2553	32	31	48	28	37	86
Zm00001d004015	81	69	116	227	54	163	5	4	10	3	4	20
Zm00001d004019	2479	2261	2571	1628	2037	1853	25	26	20	21	19	38
Zm00001d004083	40	41	12	366	395	382	7	6	5	35	7	23
Zm00001d004086	600	588	525	931	521	767	32	17	7	41	21	17
Zm00001d004090	779	382	480	277	248	250	47	45	52	25	26	46
Zm00001d004091	1427	675	848	769	898	749	9	7	8	8	7	10
Zm00001d004119	6223	5809	5412	4377	4616	4641	154	99	97	28	11	19
Zm00001d004125	18150	7880	8860	6422	7244	6727	79	87	85	94	69	217
Zm00001d004136	1799	1724	1762	1192	1330	1414	172	225	127	141	190	256
Zm00001d004137	327	193	267	50	95	54	19	8	20	17	12	25
Zm00001d004138	7857	6205	8501	10000	4210	8016	907	450	470	477	275	224
Zm00001d004139	5700	2422	3420	2502	2899	2848	96	81	80	56	62	105
Zm00001d004140	1579	973	1225	955	1059	1109	52	62	47	27	36	45
Zm00001d004152	782	762	967	701	865	777	38	29	42	26	19	31
Zm00001d004153	354	194	264	351	367	339	21	17	12	31	18	32
Zm00001d004154	823	391	567	638	635	670	14	6	5	11	3	3
Zm00001d004159	1110	694	894	1088	1024	1024	29	42	45	34	44	48
Zm00001d004167	413	368	337	463	597	467	6	2	5	15	8	3
Zm00001d004169	2023	2005	2113	2161	2440	2417	109	62	107	57	43	65
Zm00001d004172	5824	3403	3921	3295	4177	3580	230	274	185	123	114	177
Zm00001d004176	770	1002	1064	860	1172	1079	145	138	80	117	108	76
Zm00001d004193	1875	1457	2034	968	2508	1716	67	104	65	126	123	143
Zm00001d004198	3875	4018	3059	1832	2056	1838	97	83	84	43	35	41
Zm00001d004200	591	381	686	469	598	577	99	74	74	59	50	46
Zm00001d004260	548	437	561	148	187	173	8	7	14	13	6	13
Zm00001d004270	1052	917	1103	687	891	823	66	68	41	69	56	60
Zm00001d004372	1195	1895	1317	1767	1424	1596	186	132	104	159	127	106
Zm00001d004383	1274	706	881	601	778	669	11	7	6	12	4	3
Zm00001d004386	680	628	749	883	1024	927	79	88	71	39	53	53
Zm00001d004401	8641	13190	19558	39011	52023	46239	3727	4224	3291	3387	3139	2254
Zm00001d004407	883	551	698	377	470	399	54	157	108	85	148	169
Zm00001d004410	982	512	623	594	845	672	109	110	75	175	175	276
Zm00001d004448	2644	2471	2054	7952	7554	6018	74	105	38	153	229	112
Zm00001d004451	414	843	706	507	457	377	63	68	31	23	22	8
Zm00001d004458	657	437	636	702	872	773	109	111	101	128	119	176
Zm00001d004463	1629	1280	1528	1533	1634	1690	150	131	132	118	117	146
Zm00001d004466	4349	2626	3151	2762	3094	3047	47	32	33	50	24	41
Zm00001d004473	11400	7542	5371	4766	4462	4428	22	26	26	21	25	56
Zm00001d004481	192	103	206	228	319	209	9	3	2	7	8	10
Zm00001d004482	224	263	192	254	399	346	55	41	30	67	66	61
Zm00001d004498	1366	1468	1407	1072	1252	1062	100	108	95	134	108	160
Zm00001d004512	267	127	267	140	216	168	12	5	6	8	3	16
Zm00001d004513	701	648	578	673	720	691	6	7	4	6	8	8
Zm00001d004517	951	725	798	688	743	755	29	26	7	9	17	5
Zm00001d004541	1023	469	623	640	817	747	26	73	34	33	41	78
Zm00001d004543	4202	7948	5893	5112	4828	5189	1240	1329	779	1307	1242	860
