gid	prop.p	prop.h	reg
Zm00001d006094	0.539006584597767	0.51200564971751406	trans
Zm00001d006110	0.21417250033020735	0.546203110704483	cis+trans
Zm00001d006130	0.6276123087049531	0.5904513241327862	cis+trans
Zm00001d006166	0.5250147145379636	0.5345911949685535	cis
Zm00001d006192	0.5298311990686845	0.6065573770491803	cis+trans
Zm00001d006221	0.5523743016759777	0.6090969017798287	cis+trans
Zm00001d006282	0.42814989672469755	0.6767676767676768	cis+trans
Zm00001d006311	0.3249876053544869	0.5698689956331877	cis+trans
Zm00001d006340	0.2935610431571659	0.4736842105263158	trans
Zm00001d006351	0.5674470457079153	0.4375	trans
Zm00001d006370	0.5316239316239316	0.48593682388576376	cis+trans
Zm00001d006420	0.12570462232243515	0.2641509433962264	cis+trans
Zm00001d006446	0.5386732329084588	0.7336271186440677	cis+trans
Zm00001d006474	0.4015158546017014	0.3509544787077827	cis+trans
Zm00001d006502	0.38239456552504947	0.3597122302158273	cis
Zm00001d006533	0.6448865897333864	0.5054528212422948	trans
Zm00001d006555	0.6448705656759347	0.6680244399185337	cis
Zm00001d006593	0.3650224215246637	0.5656387665198237	cis+trans
Zm00001d006608	0.5242177453921989	0.40625	cis+trans
Zm00001d006644	0.5523831996224634	0.6928620452985588	cis+trans
Zm00001d006678	0.567741935483871	0.7163120567375886	cis+trans
Zm00001d006702	0.6115308151093439	0.652542372881356	cis
Zm00001d006722	0.5271281571562207	0.5102040816326531	trans
Zm00001d006753	0.7082655385616662	0.7042889390519188	cis
Zm00001d006788	0.5447889750215332	0.6090225563909775	cis+trans
Zm00001d006821	0.44051184317996184	0.47922077922077927	trans
Zm00001d006853	0.3035019455252918	0.32142857142857145	cis
Zm00001d006872	0.6164289001380581	0.7272727272727273	cis+trans
Zm00001d006907	0.5637925283522348	0.5489051094890511	cis
Zm00001d006930	0.38180473372781065	0.5842812823164426	cis+trans
Zm00001d007012	0.4218947853113848	0.6572295247724975	cis+trans
Zm00001d007039	0.5137179036229336	0.6721991701244814	cis+trans
Zm00001d007060	0.4621771217712177	0.4409448818897638	cis
Zm00001d007079	0.587995337995338	0.5909090909090909	cis
Zm00001d007111	0.4334785952319918	0.5957446808510638	cis+trans
Zm00001d007135	0.6376623376623377	0.3076923076923077	cis+trans
Zm00001d007158	0.5022907999368055	0.6291479820627802	unexpected
Zm00001d007436	0.5005572893446277	0.543859649122807	conserved
Zm00001d007490	0.5306291390728477	0.47540983606557374	trans
Zm00001d007585	0.5923585176673369	0.701923076923077	cis+trans
Zm00001d007633	0.6188528274746021	0.6570669029685423	cis+trans
Zm00001d007692	0.5478426568667484	0.4468247895944912	cis+trans
Zm00001d007754	0.5167100694444444	0.5366666666666666	cis
Zm00001d007770	0.4881146206447411	0.2894736842105263	cis+trans
Zm00001d007802	0.5452579548965092	0.5802583025830258	cis+trans
Zm00001d007826	0.5843681519357194	0.6066350710900474	cis
Zm00001d007857	0.3560247366895352	0.5235001082954299	cis+trans
Zm00001d007889	0.47263294422827495	0.6330749354005168	cis+trans
Zm00001d007902	0.653595545551475	0.6115107913669066	cis
Zm00001d007978	0.6211261457878655	0.45631067961165045	trans
Zm00001d008209	0.4952380952380952	0.2906976744186047	unexpected
Zm00001d008228	0.4720785935884178	0.5236447520184545	trans
Zm00001d008244	0.35859094176851186	0.7033898305084746	cis+trans
Zm00001d008333	0.6121207454181427	0.5651685393258428	cis+trans
Zm00001d008376	0.3053400273847558	0.3831417624521073	cis+trans
Zm00001d008404	0.7479674796747967	0.22448979591836735	cis+trans
Zm00001d008424	0.5291117722056949	0.4444444444444444	trans
Zm00001d008452	0.34136891950064574	0.3045267489711934	cis
Zm00001d008502	0.4973869871962373	0.4404362416107382	unexpected
Zm00001d008540	0.48566281339138273	0.715962441314554	cis+trans
Zm00001d008567	0.5117225659394334	0.8525179856115107	cis+trans
Zm00001d008596	0.5476503169074403	0.6111111111111112	cis+trans
Zm00001d008620	0.5392122667749826	0.5407695247802268	cis
Zm00001d008679	0.4280999528524281	0.44030163385002097	cis
Zm00001d008716	0.7066189624329159	0.6688741721854304	cis
Zm00001d008739	0.49124270225187655	0.5263673789453048	cis+trans
Zm00001d008763	0.5626262626262627	0.6448362720403024	cis+trans
Zm00001d008827	0.36310679611650487	0.4505494505494505	trans
Zm00001d008863	0.47038123167155427	0.5039370078740157	trans
Zm00001d008883	0.3376389306097927	0.46787878787878784	cis+trans
Zm00001d008905	0.45025069637883003	0.6656200941915228	cis+trans
Zm00001d008940	0.4180552626028264	0.5400641025641025	cis+trans
Zm00001d008974	0.38176395398380913	0.6309963099630995	cis+trans
Zm00001d008999	0.5033222591362125	0.4	conserved
Zm00001d009060	0.23658872077028886	0.20757575757575755	cis+trans
Zm00001d009125	0.6045169020732726	0.545964398927091	cis+trans
Zm00001d009163	0.4952936218038775	0.6569528032942666	unexpected
Zm00001d009243	0.8527764442310769	0.17518248175182483	cis+trans
Zm00001d009336	0.5535372848948376	0.5368421052631579	cis
Zm00001d009407	0.5275854366763457	0.6000000000000001	cis
Zm00001d009450	0.4418406476352791	0.7666666666666667	cis+trans
Zm00001d009517	0.759742351046699	0.6186046511627907	cis+trans
Zm00001d009552	0.5325351379489849	0.6878727634194831	cis+trans
Zm00001d009591	0.40066037735849064	0.3339389534883721	cis+trans
Zm00001d009640	0.7080343171639777	0.7525937749401437	cis+trans
Zm00001d009683	0.569439217162213	0.5412844036697247	cis+trans
Zm00001d009708	0.5652958377403099	0.5735735735735735	cis
Zm00001d009749	0.4865983703199099	0.5327102803738317	trans
Zm00001d009779	0.5178629249865084	0.6932668329177056	cis+trans
Zm00001d009813	0.4883766745468873	0.3994708994708995	cis+trans
Zm00001d009873	0.586287192755498	0.5745257452574526	cis
Zm00001d009940	0.33286278938452857	0.6	cis+trans
Zm00001d009967	0.469150641025641	0.5155910079767948	trans
Zm00001d010029	0.6269968051118211	0.48	trans
Zm00001d010128	0.5318647793804258	0.4235294117647059	trans
Zm00001d010211	0.8490838958534233	0.7200474495848161	cis+trans
Zm00001d010236	0.625592916622747	0.7305439330543934	cis+trans
Zm00001d010275	0.30110766504209124	0.20806794055201697	cis+trans
Zm00001d010319	0.7606153846153847	0.75	cis
Zm00001d010401	0.564290473017988	0.544973544973545	cis
Zm00001d010431	0.7891797556719022	0.832810867293626	cis+trans
Zm00001d010455	0.47100712105798576	0.6000000000000001	cis+trans
Zm00001d010491	0.4281688860609917	0.4198328267477204	cis
Zm00001d010536	0.37142857142857144	0.6875	cis+trans
Zm00001d010578	0.6037463976945245	0.5208333333333334	trans
Zm00001d010611	0.4602796786670634	0.630952380952381	cis+trans
Zm00001d010639	0.5864003590664272	0.5371621621621622	trans
Zm00001d010670	0.7238573407202216	0.7865853658536586	cis+trans
Zm00001d010715	0.34288770053475937	0.6625357483317446	cis+trans
Zm00001d010785	0.2712925851703407	0.4038461538461538	cis+trans
Zm00001d010806	0.48711217183770883	0.5204081632653061	trans
Zm00001d010869	0.42683049652532984	0.6183574879227053	cis+trans
Zm00001d010908	0.6118203309692671	0.548780487804878	trans
Zm00001d010944	0.4857195334741482	0.5	trans
Zm00001d010969	0.1765873015873016	0.5057471264367815	trans
Zm00001d010995	0.4817765385381398	0.6138613861386139	cis+trans
Zm00001d011037	0.5010969723562966	0.6106382978723404	unexpected
Zm00001d011089	0.49200432848382836	0.5265225933202358	trans
Zm00001d011104	0.46801984663960305	0.48	cis
Zm00001d011125	0.48606361149110805	0.554364471669219	cis+trans
Zm00001d011144	0.5242322696809043	0.5352564102564102	cis
Zm00001d011174	0.33569367951744034	0.5729166666666666	cis+trans
Zm00001d011193	0.607395323545405	0.508411214953271	trans
Zm00001d011220	0.5287716890500932	0.5091383812010444	trans
Zm00001d011236	0.7695450324976787	0.7962154294032023	cis+trans
Zm00001d011275	0.4401793721973094	0.579957356076759	cis+trans
Zm00001d011309	0.49828549034976	0.7301587301587302	unexpected
Zm00001d011347	0.5272429332240884	0.5362318840579711	cis
Zm00001d011379	0.2621722846441948	0.3819444444444444	cis+trans
Zm00001d011478	0.5185772541912097	0.5086206896551724	trans
Zm00001d011526	0.5528189910979229	0.6408977556109725	cis+trans
Zm00001d011573	0.6584745762711863	0.6229508196721312	cis
Zm00001d011602	0.6355389541088581	0.625	cis
Zm00001d011625	0.4280790441176471	0.5100222717149221	trans
Zm00001d011650	0.49638366529431394	0.5845794392523365	unexpected
Zm00001d011691	0.5783673469387756	0.6739130434782609	cis+trans
Zm00001d011720	0.5412878787878788	0.5599999999999999	cis
Zm00001d011763	0.6344936708860759	0.7317073170731707	cis
Zm00001d011782	0.5321014719699342	0.6484149855907781	cis+trans
Zm00001d011805	0.5135330205701912	0.5142857142857142	cis
Zm00001d011843	0.363419364463673	0.5285714285714286	trans
Zm00001d011879	0.5406716417910449	0.6893939393939393	cis+trans
Zm00001d011908	0.47763837638376383	0.6068965517241379	cis+trans
Zm00001d011932	0.7122302158273381	0.7721518987341772	cis
Zm00001d012103	0.5515114682512886	0.8901617250673854	cis+trans
Zm00001d012158	0.4477848101265823	0.46875000000000006	cis
Zm00001d012195	0.6408157403418067	0.6012987012987013	cis+trans
Zm00001d012228	0.44156438908224954	0.7351351351351351	cis+trans
Zm00001d012525	0.5896202531645569	0.6308360477741585	cis+trans
Zm00001d012556	0.5619379308699697	0.5144818708431667	cis+trans
Zm00001d012610	0.5307762976573266	0.7096774193548387	cis+trans
Zm00001d012643	0.5304107424960506	0.532488114104596	cis
Zm00001d012662	0.5715532762289269	0.7240356083086054	cis+trans
Zm00001d012674	0.5384542347132548	0.2645161290322581	cis+trans
Zm00001d012689	0.27627217781243907	0.4131147540983607	cis+trans
Zm00001d012718	0.2239366138448707	0.16519647153167602	cis+trans
Zm00001d012741	0.573729863692689	0.754942767950052	cis+trans
Zm00001d012770	0.5222928395141386	0.892962962962963	cis+trans
Zm00001d012811	0.4415584415584416	0.3076923076923077	cis+trans
Zm00001d012825	0.6208943411159478	0.45000000000000007	trans
Zm00001d012845	0.4478681476173415	0.4215328467153284	cis
Zm00001d012856	0.5848827809215845	0.5696202531645569	cis
Zm00001d012886	0.5727742327560013	0.5433903576982893	cis+trans
Zm00001d012911	0.4192830978545264	0.4940374787052811	trans
Zm00001d012931	0.44689119170984454	0.6419753086419753	cis+trans
Zm00001d012955	0.6515071390798519	0.47210300429184554	trans
Zm00001d012978	0.7698504027617952	0.6876475216365067	cis+trans
Zm00001d013030	0.7207128885024995	0.7540983606557377	cis
Zm00001d013220	0.42426793337742774	0.68389662027833	cis+trans
Zm00001d013247	0.6025949062950504	0.6486486486486487	cis
Zm00001d013258	0.8063063063063064	0.796759941089838	cis
Zm00001d013300	0.5432345360824742	0.6418897637795276	cis+trans
Zm00001d013318	0.591070163004961	0.6363636363636364	cis
Zm00001d013332	0.4282804771603142	0.4520123839009288	cis
Zm00001d013376	0.6410876132930513	0.5053763440860215	trans
Zm00001d013402	0.44757470383685977	0.5465761875385565	cis+trans
Zm00001d013417	0.47107712765957444	0.5845070422535211	cis+trans
Zm00001d013428	0.43358024691358027	0.44594594594594594	cis
Zm00001d013452	0.6135786802030457	0.5438489646772229	cis+trans
Zm00001d013468	0.564885496183206	0.4901960784313726	trans
Zm00001d013496	0.5619412515964239	0.6014492753623188	cis
Zm00001d013523	0.5234026745913819	0.46796657381615603	trans
Zm00001d013544	0.4361248507589971	0.532608695652174	trans
Zm00001d013582	0.5335654865544593	0.5555555555555556	cis
Zm00001d013612	0.4744804184928602	0.48347107438016534	cis
Zm00001d013644	0.28300121105361664	0.3724534986713906	cis+trans
Zm00001d013678	0.9763539282990085	0.5	trans
Zm00001d013721	0.5685992077781779	0.6115107913669064	cis+trans
Zm00001d013795	0.4157564489890774	0.8493150684931506	cis+trans
Zm00001d013989	0.5040950698570741	0.4605263157894737	conserved
Zm00001d014011	0.7174813587406793	0.48325358851674644	trans
Zm00001d014046	0.38623481781376523	0.3781512605042016	cis
Zm00001d014079	0.5996485943775101	0.5195652173913043	trans
Zm00001d014097	0.7442238854539537	0.6206896551724138	cis+trans
Zm00001d014141	0.7687976151043392	0.48591549295774655	trans
Zm00001d014192	0.522886285088089	0.476878612716763	cis+trans
Zm00001d014253	0.7241379310344828	0.6865671641791045	cis
Zm00001d014391	0.5475555555555556	0.6153846153846154	cis
Zm00001d014446	0.5249144161278053	0.6265822784810126	cis+trans
Zm00001d014507	0.5707894491564918	0.8365384615384616	cis+trans
Zm00001d014715	0.4640592745502802	0.5631964342566061	cis+trans
Zm00001d014734	0.4418426103646833	0.8148148148148148	cis+trans
Zm00001d014757	0.47051271922894605	0.6506449257726942	cis+trans
Zm00001d014772	0.32569152134696333	0.4888406695598264	trans
Zm00001d014785	0.5079350085017948	0.5271084337349398	cis
Zm00001d014809	0.5190901705930138	0.48598130841121495	trans
Zm00001d015082	0.5112190608373814	0.6509433962264151	cis+trans
Zm00001d015135	0.49601925569339006	0.5687203791469194	unexpected
Zm00001d015174	0.5195813639432816	0.5538461538461538	cis+trans
Zm00001d015200	0.6628222523744912	0.6685082872928176	cis
Zm00001d015212	0.4447335366947784	0.5357142857142857	trans
Zm00001d015242	0.5629683345419386	0.5555555555555556	cis
Zm00001d015272	0.5022734984730235	0.6132897603485838	unexpected
Zm00001d015308	0.6214008859357696	0.5567567567567567	cis+trans
Zm00001d015329	0.4093314093314094	0.6634304207119741	cis+trans
