gid	disp
Zm00001d004896	0
Zm00001d004898	0
Zm00001d004908	0
Zm00001d004913	0
Zm00001d004917	0
Zm00001d004925	0
Zm00001d004931	0
Zm00001d004933	0
Zm00001d004934	0
Zm00001d004936	0
Zm00001d004956	0
Zm00001d004960	0
Zm00001d004966	0
Zm00001d004976	0
Zm00001d004977	0
Zm00001d004979	0
Zm00001d004982	0
Zm00001d004986	0
Zm00001d004992	0
Zm00001d004993	0
Zm00001d004997	0
Zm00001d004999	0
Zm00001d005006	0
Zm00001d005012	0
Zm00001d005015	0
Zm00001d005016	0
Zm00001d005018	0
Zm00001d005019	0
Zm00001d005023	0
Zm00001d005029	0
Zm00001d005030	0
Zm00001d005035	0
Zm00001d005036	0
Zm00001d005052	0
Zm00001d005059	0
Zm00001d005062	0
Zm00001d005065	0
Zm00001d005072	0
Zm00001d005080	0
Zm00001d005085	0
Zm00001d005089	0
Zm00001d005090	0
Zm00001d005092	0
Zm00001d005102	0
Zm00001d005105	0
Zm00001d005106	0
Zm00001d005108	0
Zm00001d005127	0
Zm00001d005137	0
Zm00001d005144	0
Zm00001d005151	0
Zm00001d005157	0
Zm00001d005158	0
Zm00001d005159	0
Zm00001d005164	0
Zm00001d005193	0
Zm00001d005199	0
Zm00001d005203	0
Zm00001d005205	0
Zm00001d005228	0
Zm00001d005231	0
Zm00001d005240	0
Zm00001d005241	0
Zm00001d005244	0
Zm00001d005248	0
Zm00001d005250	0
Zm00001d005264	0
Zm00001d005269	0
Zm00001d005281	0
Zm00001d005295	0
Zm00001d005297	0
Zm00001d005323	0
Zm00001d005334	0
Zm00001d005338	0
Zm00001d005347	0
Zm00001d005358	0
Zm00001d005375	0
Zm00001d005391	0
Zm00001d005393	0
Zm00001d005394	0
Zm00001d005395	0
Zm00001d005396	0
Zm00001d005402	0
Zm00001d005421	0
Zm00001d005424	0
Zm00001d005429	0
Zm00001d005431	0
Zm00001d005442	0
Zm00001d005451	0
Zm00001d005453	0
Zm00001d005459	0
Zm00001d005460	0
Zm00001d005461	0
Zm00001d005462	0
Zm00001d005473	0
Zm00001d005478	0
Zm00001d005485	0
Zm00001d005489	0
Zm00001d005501	0
Zm00001d005502	0
Zm00001d005503	0
Zm00001d005504	0
Zm00001d005507	0
Zm00001d005513	0
Zm00001d005516	0
Zm00001d005532	0
Zm00001d005542	0
Zm00001d005546	0
Zm00001d005547	0
Zm00001d005550	0
Zm00001d005558	0
Zm00001d005563	0
Zm00001d005573	0
Zm00001d005579	0
Zm00001d005584	0
Zm00001d005586	0
Zm00001d005609	0
Zm00001d005614	0
Zm00001d005616	0
Zm00001d005624	0
Zm00001d005627	0
Zm00001d005628	0
Zm00001d005642	0
Zm00001d005648	0
Zm00001d005649	0
Zm00001d005650	0
Zm00001d005653	0
Zm00001d005654	0
Zm00001d005657	0
Zm00001d005662	0
Zm00001d005671	0
Zm00001d005674	0
Zm00001d005675	0
Zm00001d005680	0
Zm00001d005687	0
Zm00001d005694	0
Zm00001d005699	0
Zm00001d005707	0
Zm00001d005713	0
Zm00001d005726	0
Zm00001d005732	0
Zm00001d005735	0
Zm00001d005736	0
Zm00001d005748	0
Zm00001d005750	0
Zm00001d005751	0
Zm00001d005752	0
Zm00001d005754	0
Zm00001d005756	0
Zm00001d005760	0
Zm00001d005762	0
Zm00001d005764	0
Zm00001d005783	0
Zm00001d005789	0
Zm00001d005790	0
Zm00001d005791	0
Zm00001d005793	0
Zm00001d005794	0
Zm00001d005808	0
Zm00001d005812	0
Zm00001d005813	0
Zm00001d005817	0
Zm00001d005818	0
Zm00001d005819	0
Zm00001d005826	0
Zm00001d005828	0
Zm00001d005831	0
Zm00001d005847	0
Zm00001d005848	0
Zm00001d005856	0
Zm00001d005857	0
Zm00001d005858	0
Zm00001d005864	0
Zm00001d005865	0
Zm00001d005866	0
Zm00001d005881	0
Zm00001d005884	0
Zm00001d005888	0
Zm00001d005892	0
Zm00001d005894	0
Zm00001d005909	0
Zm00001d005917	0
Zm00001d005920	0
Zm00001d005924	0
Zm00001d005925	0
Zm00001d005940	0
Zm00001d005944	0
Zm00001d005950	0
Zm00001d005958	0
Zm00001d005966	0
Zm00001d005969	0
Zm00001d005970	0
Zm00001d005971	0
Zm00001d005976	0
Zm00001d005977	0
Zm00001d005978	0
Zm00001d005997	0
Zm00001d005998	0
Zm00001d006001	0
Zm00001d006008	0
Zm00001d006010	0
Zm00001d006011	0
Zm00001d006016	0
Zm00001d006055	0
Zm00001d006057	0
Zm00001d006060	0
Zm00001d006061	0
Zm00001d006065	0
Zm00001d006070	0
Zm00001d006071	0
Zm00001d006079	0
Zm00001d006080	0
Zm00001d006084	0
Zm00001d006085	0
Zm00001d006089	0
Zm00001d006090	0
